CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CID-00080,Male,1,No,No,40,Yes,No,DSL,Yes,No internet service,Month-to-month,No,Bank transfer,98.72,769.56,No
CID-00081,Female,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No,Yes,Two year,No,Electronic check,29.81,160.07,No
CID-00082,Female,0,No,Yes,48,Yes,No,DSL,No,No internet service,Two year,No,Mailed check,66.8,3174.77,No
CID-00083,Male,1,Yes,Yes,64,Yes,Yes,DSL,No,No internet service,One year,Yes,Credit card,113.98,919.79,No
CID-00084,Male,0,No,No,3,Yes,Yes,Fiber optic,No internet service,Yes,One year,No,Mailed check,62.94,3723.64,Yes
CID-00085,Male,1,Yes,No,40,Yes,No,DSL,No,No internet service,Two year,Yes,Electronic check,104.62,298.34,No
CID-00086,Female,0,Yes,No,10,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,61.67,366.39,No
CID-00087,Male,0,No,No,31,Yes,No,DSL,No,No,Two year,Yes,Bank transfer,96.62,581.09,No
CID-00088,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,Two year,No,Mailed check,54.79,2033.27,No
CID-00089,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,One year,Yes,Credit card,103.64,5678.18,Yes
CID-00090,Male,0,No,Yes,37,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Electronic check,50.49,2054.0,No
CID-00091,Female,0,No,No,39,Yes,No,Fiber optic,No,No,One year,No,Mailed check,61.75,641.05,No
CID-00092,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,One year,No,Bank transfer,25.42,163.48,No
CID-00093,Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,65.83,7591.47,Yes
CID-00094,Male,0,Yes,No,21,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,110.47,1715.56,No
CID-00095,Female,0,No,Yes,33,No,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,62.66,3820.1,No
CID-00096,Male,0,No,Yes,30,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,107.09,3793.08,No
CID-00097,Female,1,No,No,70,Yes,No,Fiber optic,No internet service,Yes,One year,No,Credit card,32.05,2564.7,No
CID-00098,Male,0,No,No,69,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,106.98,1470.02,No
CID-00099,Female,1,No,No,1,Yes,No,DSL,Yes,Yes,Two year,No,Electronic check,100.22,3560.97,Yes
CID-00100,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card,52.5,1647.89,No
CID-00101,Male,0,Yes,Yes,52,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Credit card,41.97,1566.99,No
CID-00102,Male,0,Yes,No,28,Yes,Yes,DSL,No,Yes,Two year,No,Bank transfer,42.45,1311.75,No
CID-00103,Female,0,No,No,56,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,98.25,6974.73,Yes
CID-00104,Female,1,No,Yes,18,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,108.86,885.46,No
CID-00105,Female,0,No,No,10,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,47.38,627.57,Yes
CID-00106,Male,0,Yes,No,42,Yes,No,DSL,Yes,No,Two year,Yes,Mailed check,24.79,1905.19,No
CID-00107,Female,0,Yes,No,19,Yes,No,DSL,No,Yes,Month-to-month,No,Mailed check,115.95,122.04,No
CID-00108,Female,0,Yes,No,15,Yes,No phone service,DSL,No,No internet service,Month-to-month,No,Electronic check,110.42,3713.86,Yes
CID-00109,Male,0,No,No,35,Yes,Yes,Fiber optic,No internet service,No,Two year,Yes,Electronic check,74.95,1960.34,No
CID-00110,Male,0,No,Yes,49,No,No,No,No internet service,No,Month-to-month,No,Bank transfer,43.26,4469.87,No
CID-00111,Male,0,No,No,36,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,118.37,115.75,Yes
CID-00112,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,34.91,584.67,No
CID-00113,Female,0,No,No,47,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,99.9,3427.33,No
CID-00114,Male,0,No,No,2,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,75.43,1363.46,Yes
CID-00115,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,Yes,No,Two year,No,Electronic check,109.79,878.98,No
CID-00116,Female,1,Yes,No,33,Yes,No,DSL,No internet service,Yes,One year,Yes,Mailed check,54.09,242.1,No
CID-00117,Male,0,No,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,Two year,Yes,Credit card,61.5,949.53,No
CID-00118,Female,0,No,No,61,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,104.77,860.55,No
CID-00119,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,99.6,802.59,No
CID-00120,Male,0,No,No,22,Yes,No,DSL,No,No,Two year,No,Bank transfer,32.5,3013.61,No
CID-00121,Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,19.73,3523.52,No
CID-00122,Female,0,No,Yes,66,Yes,No,DSL,No,Yes,Two year,No,Mailed check,92.75,1024.28,No
CID-00123,Male,1,Yes,No,46,Yes,No phone service,DSL,No,No,Month-to-month,Yes,Credit card,85.12,349.93,No
CID-00124,Male,0,Yes,No,71,Yes,Yes,DSL,No,No,Two year,No,Credit card,57.89,299.75,No
CID-00125,Female,1,No,No,6,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,101.48,5464.88,No
CID-00126,Male,0,No,No,12,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,50.62,1322.75,No
CID-00127,Male,0,No,No,10,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,112.32,5688.5,No
CID-00128,Male,0,Yes,No,26,Yes,Yes,DSL,No,No,Two year,Yes,Electronic check,93.43,4919.34,No
CID-00129,Male,0,Yes,No,41,Yes,Yes,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,116.7,971.57,No
CID-00130,Female,0,Yes,No,35,Yes,No,No,Yes,No,One year,Yes,Electronic check,84.75,740.62,No
CID-00131,Male,0,Yes,No,25,Yes,No,DSL,No internet service,No,Month-to-month,No,Credit card,36.55,4747.16,No
CID-00132,Female,0,Yes,No,25,Yes,No phone service,No,No internet service,Yes,Month-to-month,Yes,Credit card,76.54,4212.28,No
CID-00133,Male,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,25.63,130.11,Yes
CID-00134,Male,0,Yes,No,28,No,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Bank transfer,89.9,4587.63,No
CID-00135,Male,0,Yes,No,10,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,43.93,2391.64,Yes
CID-00136,Male,0,Yes,No,14,Yes,Yes,DSL,Yes,No,Two year,No,Credit card,102.54,990.31,No
CID-00137,Female,0,Yes,No,49,Yes,No phone service,DSL,No,Yes,Two year,Yes,Electronic check,104.68,657.69,No
CID-00138,Male,0,No,Yes,11,Yes,No,No,No,No,Month-to-month,No,Mailed check,52.94,2467.76,No
CID-00139,Female,1,No,No,24,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card,69.66,6530.22,Yes
CID-00140,Female,0,No,No,9,Yes,No phone service,DSL,No,No internet service,Two year,Yes,Bank transfer,36.34,620.9,No
CID-00141,Female,0,No,No,50,Yes,No phone service,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,101.17,1979.93,No
CID-00142,Female,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,106.93,747.54,No
CID-00143,Female,0,Yes,Yes,45,Yes,Yes,DSL,No,No,Month-to-month,Yes,Credit card,22.51,1430.3,No
CID-00144,Female,0,Yes,No,68,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,37.36,1164.08,No
CID-00145,Female,1,No,No,34,Yes,No,No,No,Yes,Two year,Yes,Bank transfer,48.8,1080.57,No
CID-00146,Female,0,No,Yes,72,Yes,No,DSL,No,No,Two year,Yes,Credit card,61.2,2521.92,No
CID-00147,Female,1,No,No,61,Yes,Yes,Fiber optic,No,No,One year,No,Electronic check,26.65,902.24,Yes
CID-00148,Female,0,Yes,No,71,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.78,3725.18,Yes
CID-00149,Male,0,No,Yes,26,Yes,No phone service,DSL,Yes,No,Two year,Yes,Credit card,62.09,1998.27,No
CID-00150,Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,No,Two year,No,Credit card,22.42,3639.3,No
CID-00151,Male,0,No,Yes,58,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,64.33,1774.41,Yes
CID-00152,Male,0,No,No,55,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,44.86,2659.49,No
CID-00153,Female,0,Yes,No,62,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,46.43,3324.99,No
CID-00154,Male,0,Yes,Yes,4,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,55.65,2908.29,Yes
CID-00155,Female,0,No,No,58,Yes,No,Fiber optic,No,No internet service,One year,Yes,Electronic check,92.07,3285.01,Yes
CID-00156,Male,0,Yes,No,18,Yes,No phone service,DSL,No,No internet service,Month-to-month,No,Bank transfer,84.73,920.16,No
CID-00157,Male,0,No,Yes,49,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,44.44,3232.48,Yes
CID-00158,Female,0,No,No,31,Yes,Yes,DSL,No internet service,No,Two year,No,Electronic check,53.11,4187.84,No
CID-00159,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,47.21,6710.0,No
CID-00160,Male,0,No,No,69,Yes,Yes,Fiber optic,No,No,Two year,No,Mailed check,50.7,674.37,No
CID-00161,Male,0,No,No,53,Yes,Yes,DSL,No internet service,No internet service,One year,Yes,Electronic check,88.55,4408.45,No
CID-00162,Female,0,Yes,Yes,46,Yes,No,DSL,Yes,No,Month-to-month,Yes,Electronic check,30.09,1034.31,Yes
CID-00163,Female,0,Yes,No,46,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,86.98,4033.12,No
CID-00164,Male,0,Yes,No,69,No,Yes,No,No,No,One year,Yes,Credit card,63.3,2113.55,No
CID-00165,Female,0,Yes,Yes,29,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,74.64,5215.46,No
CID-00166,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Credit card,49.03,2523.01,No
CID-00167,Female,0,No,No,40,No,No,No,No internet service,No,Two year,Yes,Electronic check,60.91,5893.24,Yes
CID-00168,Male,0,No,No,67,Yes,No,DSL,No internet service,No internet service,One year,No,Mailed check,64.36,1157.03,No
CID-00169,Female,0,Yes,No,47,Yes,No phone service,No,No,No internet service,One year,Yes,Electronic check,36.68,4051.26,No
CID-00170,Female,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Credit card,110.16,3216.89,Yes
CID-00171,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No internet service,Yes,Two year,Yes,Mailed check,41.77,7886.57,No
CID-00172,Female,0,Yes,No,12,Yes,No,DSL,No,No,One year,No,Electronic check,83.94,5629.6,No
CID-00173,Female,0,Yes,No,45,No,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,53.55,539.4,No
CID-00174,Female,0,No,No,28,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,82.42,1858.38,No
CID-00175,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,34.72,78.52,No
CID-00176,Male,0,No,No,2,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Electronic check,116.91,428.36,Yes
CID-00177,Female,0,Yes,No,72,No,Yes,DSL,No,No internet service,Month-to-month,Yes,Credit card,92.82,1897.61,No
CID-00178,Male,0,Yes,No,35,Yes,No phone service,DSL,No,Yes,Two year,Yes,Electronic check,102.42,7063.48,No
CID-00179,Male,0,No,No,0,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,80.79,292.96,No
CID-00180,Female,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No internet service,Two year,Yes,Mailed check,25.79,847.09,No
CID-00181,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Two year,No,Electronic check,89.74,1415.48,No
CID-00182,Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,52.8,6764.28,No
CID-00183,Female,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Electronic check,59.38,1484.29,Yes
CID-00184,Female,0,Yes,No,67,Yes,No,DSL,No,No internet service,Two year,Yes,Bank transfer,32.6,5469.91,No
CID-00185,Male,0,No,No,59,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,35.25,4101.48,No
CID-00186,Male,0,No,No,61,Yes,No,DSL,Yes,No internet service,Two year,No,Bank transfer,55.13,1621.09,No
CID-00187,Male,0,No,Yes,38,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,64.2,7027.69,No
CID-00188,Male,0,No,No,26,Yes,No phone service,No,No internet service,No,One year,Yes,Credit card,118.75,4305.59,No
CID-00189,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,46.75,367.43,Yes
CID-00190,Male,1,No,No,4,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,18.72,965.55,Yes
CID-00191,Male,0,No,No,36,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,76.51,4871.93,Yes
CID-00192,Male,1,No,Yes,9,Yes,No,No,Yes,No,One year,No,Bank transfer,35.66,4313.37,No
CID-00193,Female,1,Yes,No,38,Yes,No phone service,Fiber optic,No internet service,No,Two year,Yes,Credit card,66.51,4474.47,No
CID-00194,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,32.82,2964.96,Yes
CID-00195,Male,1,Yes,Yes,59,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,77.25,699.36,Yes
CID-00196,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,18.01,3700.12,Yes
CID-00197,Female,0,No,No,7,Yes,No,DSL,No internet service,Yes,One year,No,Electronic check,115.37,2042.95,No
CID-00198,Male,0,No,Yes,57,Yes,Yes,DSL,No,No internet service,Two year,Yes,Bank transfer,98.26,2766.84,No
CID-00199,Male,0,Yes,No,32,Yes,No,No,No,Yes,One year,Yes,Credit card,101.24,1390.42,No
CID-00200,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,One year,No,Electronic check,36.14,3032.43,Yes
CID-00201,Male,0,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,One year,No,Credit card,117.89,1773.38,No
CID-00202,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Two year,No,Bank transfer,112.38,819.89,No
CID-00203,Male,0,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,One year,No,Mailed check,84.21,7784.47,No
CID-00204,Female,0,Yes,No,19,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card,37.1,2827.69,No
CID-00205,Female,0,No,No,72,Yes,No,No,No,No,Month-to-month,No,Credit card,105.7,1657.39,No
CID-00206,Male,0,Yes,Yes,65,No,No,DSL,Yes,No internet service,Month-to-month,Yes,Bank transfer,62.82,97.47,Yes
CID-00207,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,One year,No,Credit card,106.66,1426.96,No
CID-00208,Female,0,No,No,69,No,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,47.39,5777.61,Yes
CID-00209,Male,0,Yes,No,36,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,98.35,1121.33,Yes
CID-00210,Male,0,Yes,No,51,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,No,Mailed check,90.78,2636.64,Yes
CID-00211,Female,0,Yes,No,31,Yes,No,No,No internet service,Yes,One year,Yes,Mailed check,61.6,3788.06,No
CID-00212,Male,0,No,No,32,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,101.78,2866.44,Yes
CID-00213,Male,0,Yes,Yes,34,Yes,No,No,No,No,Month-to-month,No,Mailed check,116.52,522.09,No
CID-00214,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,Two year,No,Bank transfer,79.34,2759.28,No
CID-00215,Male,0,Yes,Yes,29,Yes,Yes,DSL,No,Yes,Month-to-month,No,Credit card,70.85,741.65,No
CID-00216,Female,0,No,Yes,26,Yes,Yes,DSL,No,No,One year,No,Mailed check,58.89,3534.81,No
CID-00217,Female,0,No,Yes,48,Yes,Yes,DSL,No,Yes,Month-to-month,No,Mailed check,97.75,7841.02,No
CID-00218,Female,0,Yes,No,71,Yes,No,DSL,Yes,Yes,Two year,Yes,Mailed check,62.97,5208.46,No
CID-00219,Female,0,Yes,No,58,Yes,No,No,No,No,Month-to-month,Yes,Credit card,105.28,1746.67,No
